Départ;Arrivée;Voyageur;Profil / carte;Identifiant profil;Clé relation;Prix 2de (€);Prix 1re (€);Source;Date de vérification;Statut;Écart vs valeur actuelle
Lyon Part-Dieu;Seyssel – Corbonod;Adulte;Aucune — Plein tarif;adult-none;lyon-part-dieu|seyssel-corbonod;25,80;39,10;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Adulte;illico LIBERTÉ — Semaine (-25 %);adult-illico-liberte-weekday;lyon-part-dieu|seyssel-corbonod;19,40;29,40;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Adulte;illico LIBERTÉ — Week-end / Jour férié (-50 %);adult-illico-liberte-weekend;lyon-part-dieu|seyssel-corbonod;12,90;19,60;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Adulte;illico LIBERTÉ — Accompagnant, Week-end / Jour férié (-50 %);adult-illico-liberte-weekend-companion;lyon-part-dieu|seyssel-corbonod;12,90;19,60;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Adulte;illico LIBERTÉ JEUNES (-50 %);adult-illico-jeunes;lyon-part-dieu|seyssel-corbonod;12,90;19,60;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Adulte;Carte Liberté SNCF (-25 %);adult-liberte-nationale;lyon-part-dieu|seyssel-corbonod;19,40;29,40;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Adulte;Carte Familles Nombreuses (-30 %);adult-famille-nombreuse-30;lyon-part-dieu|seyssel-corbonod;14,60;25,00;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Adulte;Carte Familles Nombreuses (-40 %);adult-famille-nombreuse-40;lyon-part-dieu|seyssel-corbonod;12,50;22,90;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Adulte;Carte Familles Nombreuses (-50 %);adult-famille-nombreuse-50;lyon-part-dieu|seyssel-corbonod;10,40;20,80;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Seyssel – Corbonod;Adulte;Carte Familles Nombreuses (-75 %);adult-famille-nombreuse-75;lyon-part-dieu|seyssel-corbonod;5,20;15,60;SNCF Connect;2026-09-02;lu directement;identique
